,HP,MP,Attack,Defense,Speed,Luck,Range
Level 1,100,50,10,8,5,5,5
Level 2,110,56,12,10,8,8,8
Level 3,120,62,14,12,11,11,11
Level 4,130,68,16,14,14,14,14
Level 5,140,74,18,16,17,17,17
Level 6,150,80,20,18,20,20,20
Level 7,160,86,22,20,23,23,23
Level 8,170,92,24,22,26,26,26
Level 9,180,98,26,24,29,29,29
Level 10,190,104,28,26,32,32,32
Level 11,200,110,30,28,35,35,35
Level 12,210,116,32,30,38,38,38
Level 13,220,122,34,32,41,41,41
Level 14,230,128,36,34,44,44,44
Level 15,240,134,38,36,47,47,47
Level 16,250,140,40,38,50,50,50
Level 17,260,146,42,40,53,53,53
Level 18,270,152,44,42,56,56,56
Level 19,280,158,46,44,59,59,59
Level 20,290,164,48,46,62,62,62
Level 21,300,170,50,48,65,65,65
Level 22,310,176,52,50,68,68,68
Level 23,320,182,54,52,71,71,71
Level 24,330,188,56,54,74,74,74
Level 25,340,194,58,56,77,77,77
Level 26,350,200,60,58,80,80,80
Level 27,360,206,62,60,83,83,83
Level 28,370,212,64,62,86,86,86
Level 29,380,218,66,64,89,89,89
Level 30,390,224,68,66,92,92,92
